"time_iso","time_ms","time_s"," "," "," "," "," "," "," "," "," "," "
"2026-07-15T10:42:07.226Z","13987","13.987","-21.29","21.97","-90.6","75.5","-91","75","256.6","344.5","3","15.52"
"2026-07-15T10:42:07.283Z","14044","14.044","-29.86","9.64","-174.1","40.4","-174","40","249.4","332.1","2","14.39"
"2026-07-15T10:42:07.335Z","14096","14.096","-31.91","7.14","-139","28","-139","28","247.7","329.7","3","14.78"
"2026-07-15T10:42:07.405Z","14166","14.166","-34.13","0.54","-207.4","0","-207","0","245.8","323.5","2","15.19"
"2026-07-15T10:42:07.459Z","14220","14.220","-36.91","-1.6","-224","0","-224","0","243.1","321.1","2","15.41"
"2026-07-15T10:42:07.526Z","14287","14.287","-40.31","-4.74","-175.9","0","-176","0","241","317.9","3","15.48"
"2026-07-15T10:42:07.642Z","14403","14.403","-42.7","-7.27","-109","-28","-109","-28","239.4","315.4","3","15.75"
"2026-07-15T10:42:07.705Z","14466","14.466","-48.5","-12.87","0","0","0","0","236.4","311","3","14.66"
"2026-07-15T10:42:07.757Z","14518","14.518","-50.9","-14.01","0","0","0","0","235.1","309","3","14.92"
"2026-07-15T10:42:07.826Z","14587","14.587","-52.2","-16.95","0","0","0","0","233.9","307.1","3","14.88"
"2026-07-15T10:42:07.884Z","14645","14.645","0","0","0","0","0","0","0","0","0","15.54"
"2026-07-15T10:42:07.945Z","14706","14.706","0","0","0","0","0","0","0","0","0","15.75"
"2026-07-15T10:42:08.067Z","14828","14.828","0","0","0","0","0","0","0","0","0","16.02"
"2026-07-15T10:42:08.126Z","14887","14.887","0","0","0","0","0","0","0","0","0","14.82"
"2026-07-15T10:42:08.189Z","14950","14.950","-57.99","8.51","-357.3","28","-357","28","230.4","332.5","2","15.22"
"2026-07-15T10:42:08.240Z","15001","15.001","-60.53","10.21","-390.3","37.3","-390","37","227.5","334.1","2","15.36"
"2026-07-15T10:42:08.297Z","15058","15.058","-62.42","12.02","-260","32.8","-260","33","226","336","3","15.56"
